1,237
1.102,221
1.236,204
1.406,184
1.538,170
1.7,153
1.839,139
2.004,124
2.152,112
2.307,100
2.435,91
2.589,80
2.8,66
2.947,58
3.102,49
3.264,40
3.421,31
3.497,27.5
